customer_id,name,country,is_active,balance
1,David Mendez,Djibouti,false,7453.4
2,Jay Fisher,Slovakia (Slovak Republic),true,8710.87
3,Andrew Miller,Honduras,true,8252.97
4,Jenny Day,Armenia,true,9521.62
5,Scott King,Qatar,true,887.8
6,Nathan Velasquez,Libyan Arab Jamahiriya,false,4390.77
7,James Russell,Ireland,false,9651.98
8,John Chang,Burkina Faso,false,9394.73
9,Morgan Campbell,Ecuador,false,1578.76
10,Emily Brown,Sri Lanka,true,6236.88
11,Deborah Nelson,Niger,false,1857.99
12,Carlos Thomas,Northern Mariana Islands,true,5499.76
13,Anthony Williams,Brazil,false,3531.15
14,Natalie Miller,Turks and Caicos Islands,true,1520.47
15,Judy Reyes,South Georgia and the South Sandwich Islands,false,3458.58
16,Stephen Ingram,Hungary,true,5778.73
17,Ronald Becker,Seychelles,true,7414.46
18,Kelsey Hernandez,Tajikistan,false,8457.54
19,Cameron Williams,Malta,false,3854.51
20,Shannon Robinson,Nauru,true,5910.03
21,Lori Gould,Saint Barthelemy,true,3456.33
22,Christy Kennedy,Seychelles,true,6290.98
23,Alex Jones,Maldives,true,8882.04
24,Anna Parker,Guinea,true,4486.65
25,Sue Kirby,Sierra Leone,false,4827.99
26,Robert Williams,Mexico,false,2520.39
27,Rebecca Bryant,Cayman Islands,false,8405.74
28,Kristin Smith,Tokelau,false,6039.69
29,Kenneth Bridges,Norway,true,3617.36
30,Christopher Bender,Palau,true,3285.32
31,Donald Lopez,Martinique,false,5058.17
32,Ruben Beltran,Mexico,true,8236.42
33,Zachary Jones,China,false,8687.4
34,Maureen Banks,Togo,false,3362.92
35,Aaron Velazquez,Syrian Arab Republic,true,5561.09
36,Barbara Cameron,Norfolk Island,true,8901.2
37,Michelle Campbell,Morocco,false,7158.2
38,Jasmine Doyle,Austria,false,6082.84
39,Nicholas Garcia,Italy,false,952.78
40,Sandra Shannon,Colombia,true,6550.48
41,Timothy Goodman MD,Marshall Islands,true,5020.76
42,Sharon Smith,Israel,false,8636.79
43,Michael Roberson,Tajikistan,false,3261.05
44,Desiree Thompson,Fiji,true,7822.64
45,Michael Jimenez,Tuvalu,true,6864.38
